               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.061037,            0.023857,           0.0096318,             0.67959,              0.6651,              0.6891,             0.41133,             0.06845,            0.013467,             0.01317,           0.0088755,           0.0088755,           0.0088755
                  48,            0.059651,             0.02386,            0.008995,             0.69272,             0.60392,             0.68427,             0.40317,            0.069074,            0.013608,            0.013906,           0.0088283,           0.0088283,           0.0088283
                  49,            0.059938,            0.024261,           0.0085307,             0.73349,             0.60588,             0.67196,             0.39852,            0.066699,            0.013893,            0.016195,           0.0087804,           0.0087804,           0.0087804
                  50,            0.059838,            0.023474,           0.0090672,             0.77682,             0.60067,             0.68967,             0.42332,            0.069845,            0.013597,             0.01577,           0.0087316,           0.0087316,           0.0087316
                  51,            0.057938,            0.024246,           0.0086548,              0.7196,             0.65423,             0.69156,             0.40106,            0.069904,            0.013501,            0.014969,            0.008682,            0.008682,            0.008682
                  52,            0.058078,            0.024576,           0.0081067,             0.74117,             0.57551,             0.66597,             0.41092,            0.065926,            0.014066,             0.02013,           0.0086316,           0.0086316,           0.0086316
                  53,            0.057401,            0.024352,           0.0090237,             0.70339,             0.66763,             0.69558,              0.4118,            0.066299,            0.014461,            0.019632,           0.0085805,           0.0085805,           0.0085805
                  54,            0.058046,            0.023089,           0.0076044,             0.75047,             0.61156,             0.68405,             0.41247,            0.067783,            0.014373,            0.016853,           0.0085286,           0.0085286,           0.0085286
                  55,            0.057749,             0.02319,           0.0079418,             0.66311,             0.62891,             0.65673,             0.40696,            0.068509,            0.014028,            0.019708,           0.0084759,           0.0084759,           0.0084759
                  56,            0.055831,            0.023757,           0.0080595,             0.76781,             0.63137,             0.69035,             0.41633,            0.068594,            0.013552,            0.017885,           0.0084225,           0.0084225,           0.0084225
                  57,            0.056332,            0.023623,           0.0081697,             0.78066,             0.61177,             0.67769,              0.4186,            0.067952,            0.013601,            0.020253,           0.0083684,           0.0083684,           0.0083684
                  58,            0.056725,            0.023271,           0.0081291,             0.77096,             0.66368,             0.71652,             0.42989,            0.067159,            0.013617,            0.014797,           0.0083136,           0.0083136,           0.0083136
                  59,             0.05571,            0.023406,           0.0074475,             0.68601,             0.67343,              0.6935,              0.4241,            0.068094,            0.013726,            0.016381,           0.0082581,           0.0082581,           0.0082581
                  60,            0.054993,            0.023532,            0.007643,             0.81477,             0.60139,             0.69363,             0.43087,            0.064462,            0.013895,            0.015529,           0.0082019,           0.0082019,           0.0082019
                  61,            0.056073,            0.023532,           0.0075335,             0.67551,             0.64053,             0.68089,             0.40635,            0.066471,            0.013997,            0.014223,            0.008145,            0.008145,            0.008145
                  62,            0.055532,            0.023568,           0.0072569,             0.77101,             0.63173,             0.70021,             0.43628,            0.068257,            0.013171,            0.014578,           0.0080875,           0.0080875,           0.0080875
                  63,            0.055396,            0.022761,           0.0076289,             0.73231,             0.57931,             0.66138,             0.41458,            0.065122,            0.014023,            0.017733,           0.0080294,           0.0080294,           0.0080294
                  64,            0.054125,            0.023607,           0.0067411,             0.73767,             0.60276,             0.66404,             0.41592,             0.06736,            0.013819,            0.019249,           0.0079706,           0.0079706,           0.0079706
                  65,            0.054195,            0.022661,           0.0072281,              0.7566,             0.64256,             0.69517,              0.4311,            0.067353,            0.013886,            0.015486,           0.0079112,           0.0079112,           0.0079112
                  66,            0.053152,            0.022836,           0.0067737,             0.68629,             0.64441,              0.6606,             0.40264,            0.068256,            0.013787,            0.017754,           0.0078512,           0.0078512,           0.0078512
                  67,            0.052965,            0.022366,           0.0068382,             0.72092,             0.65642,             0.69541,             0.43888,            0.065769,            0.013581,            0.015427,           0.0077907,           0.0077907,           0.0077907
                  68,             0.05308,            0.023011,           0.0067697,             0.76454,             0.61241,             0.70215,             0.44053,             0.06084,            0.014273,            0.014652,           0.0077296,           0.0077296,           0.0077296
                  69,            0.052618,            0.022957,           0.0068352,             0.72575,             0.68277,             0.70107,             0.43298,            0.062934,            0.014324,             0.01536,           0.0076679,           0.0076679,           0.0076679
                  70,            0.052041,              0.0231,           0.0062906,             0.77242,             0.65166,             0.72075,             0.44266,            0.066443,            0.013666,            0.016628,           0.0076057,           0.0076057,           0.0076057
                  71,            0.052162,            0.022393,           0.0063012,             0.74298,             0.66369,             0.71646,             0.45022,            0.066621,            0.013294,            0.015736,            0.007543,            0.007543,            0.007543
                  72,            0.051537,            0.022205,           0.0066719,             0.78024,             0.62303,             0.67733,             0.42363,            0.065754,            0.013825,            0.015237,           0.0074797,           0.0074797,           0.0074797
                  73,            0.051091,            0.022167,           0.0060414,             0.77131,             0.64072,              0.7094,             0.44633,            0.065457,            0.013601,            0.014447,            0.007416,            0.007416,            0.007416
                  74,            0.050814,            0.022567,           0.0058226,              0.6857,             0.70997,             0.71509,             0.44608,            0.067151,            0.013411,            0.018367,           0.0073518,           0.0073518,           0.0073518
                  75,            0.050387,            0.022397,           0.0062217,             0.67127,             0.65635,             0.66811,             0.40883,            0.068773,            0.013759,            0.017883,           0.0072872,           0.0072872,           0.0072872
                  76,             0.05121,            0.022555,           0.0060851,             0.71754,             0.64067,              0.6845,             0.44043,            0.063111,            0.014188,            0.017728,           0.0072221,           0.0072221,           0.0072221
                  77,            0.051864,            0.021824,           0.0061643,             0.78351,             0.62579,              0.7041,             0.44945,            0.064335,             0.01428,            0.015003,           0.0071566,           0.0071566,           0.0071566
                  78,            0.049412,            0.021578,           0.0060048,             0.72564,             0.68109,             0.71633,             0.44915,            0.062096,            0.014195,            0.014918,           0.0070906,           0.0070906,           0.0070906
                  79,            0.050727,            0.021429,           0.0050768,             0.74243,              0.6639,             0.69622,             0.43544,            0.067074,            0.013579,            0.014843,           0.0070243,           0.0070243,           0.0070243
                  80,            0.048918,            0.022104,           0.0053252,             0.77934,              0.6257,             0.69063,             0.45347,            0.064678,            0.013765,            0.013216,           0.0069576,           0.0069576,           0.0069576
                  81,            0.048552,             0.02177,           0.0056488,             0.75954,             0.61434,             0.68711,             0.44196,             0.06672,            0.014173,            0.015205,           0.0068906,           0.0068906,           0.0068906
                  82,            0.047974,            0.022177,           0.0049057,             0.75189,              0.6132,             0.68545,             0.44024,            0.062668,            0.014781,            0.015348,           0.0068232,           0.0068232,           0.0068232
                  83,            0.048765,            0.021782,            0.005205,             0.79043,             0.65625,             0.71665,             0.45936,            0.065028,            0.014093,            0.012502,           0.0067555,           0.0067555,           0.0067555
                  84,            0.047715,            0.022098,            0.005272,             0.75204,             0.62679,             0.67823,             0.43834,            0.066851,            0.014721,            0.014041,           0.0066874,           0.0066874,           0.0066874
                  85,            0.048719,            0.021306,           0.0053917,             0.81231,             0.62802,             0.72995,             0.47315,            0.065545,            0.014462,            0.015492,           0.0066191,           0.0066191,           0.0066191
                  86,             0.04815,            0.021125,            0.004933,             0.73764,             0.63995,             0.69179,             0.45162,            0.064805,            0.014211,            0.015664,           0.0065505,           0.0065505,           0.0065505
                  87,            0.047371,            0.021571,           0.0046438,              0.7968,             0.65077,             0.69832,             0.44779,            0.062054,            0.014674,            0.014626,           0.0064816,           0.0064816,           0.0064816
                  88,            0.046664,            0.021991,           0.0049364,             0.72593,             0.67254,             0.70375,             0.46317,            0.063501,            0.014037,            0.015029,           0.0064125,           0.0064125,           0.0064125
                  89,            0.046713,            0.020849,           0.0055371,             0.69858,             0.65311,             0.70049,               0.458,            0.062687,            0.014844,            0.016582,           0.0063432,           0.0063432,           0.0063432
                  90,            0.046543,            0.021227,           0.0057135,             0.76157,             0.62526,             0.67692,               0.439,            0.060967,            0.015252,            0.015916,           0.0062737,           0.0062737,           0.0062737
